EmployeeID,Name,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
15,Kieron Andersen,28,Yes,Travel_Rarely,234.6222047,Research & Development,24,3,Life Sciences,1,19,3,Male,28.65153176,2,1,Laboratory Technician,3,Single,2028,4966.17,5,Y,Yes,14,3,2,160,0,6,4,3,4,2,8,3
16,Emmie Cameron,29,No,Travel_Rarely,443.6754331,Research & Development,21,4,Life Sciences,1,20,2,Female,54.18063809,4,3,Manufacturing Director,1,Divorced,9980,9391.13,1,Y,No,11,3,3,160,1,10,1,3,10,9,0,8
17,Gordon Wall,32,No,Travel_Rarely,222.0250394,Research & Development,5,2,Life Sciences,1,21,1,Male,27.11319448,4,1,Research Scientist,2,Divorced,3298,4699.53,0,Y,Yes,12,3,4,160,2,7,5,2,6,2,0,5
18,Fionn Kavanagh,22,No,Non-Travel,182.6588976,Research & Development,16,2,Medical,1,22,4,Male,22.3058905,4,1,Laboratory Technician,4,Divorced,2935,3866.28,1,Y,Yes,13,3,2,160,2,1,2,2,1,0,3,0
19,Harris Stevens,53,No,Travel_Rarely,433.9370079,Sales,2,4,Life Sciences,1,23,1,Female,52.99140368,2,4,Manager,4,Married,15427,9185,2,Y,No,16,3,3,160,0,31,3,3,25,8,1,7
20,Finnian Alston,38,No,Travel_Rarely,233.0475591,Research & Development,2,3,Life Sciences,1,24,4,Male,28.4592396,3,1,Research Scientist,4,Single,3944,4932.84,5,Y,Yes,11,3,3,160,0,6,3,3,3,2,1,2
21,Mari Lucero,24,No,Non-Travel,349.98,Research & Development,11,2,Other,1,26,1,Female,42.73876421,4,2,Manufacturing Director,3,Divorced,4011,7407.91,0,Y,No,18,3,4,160,1,5,5,2,4,2,0,3
22,Omar Allan,36,Yes,Travel_Rarely,294.1625197,Sales,9,4,Life Sciences,1,27,3,Male,35.92246005,2,1,Sales Representative,1,Single,6149.17,6226.44,7,Y,No,23,4,2,160,0,10,4,3,5,3,2,3
23,Naomi Ferguson,34,No,Travel_Rarely,394.488189,Research & Development,7,4,Life Sciences,1,28,1,Female,48.17400335,3,3,Research Director,2,Single,11994,8350,0,Y,No,11,3,3,160,0,13,4,3,12,6,0,11
24,Ingrid Bonner,21,No,Travel_Rarely,188.9574803,Research & Development,15,2,Life Sciences,1,30,3,Male,23.07505914,3,1,Research Scientist,4,Single,1232,3999.6,1,Y,No,14,3,4,160,0,0,6,3,0,0,1,0
25,Daryl Stone,34,Yes,Travel_Rarely,207.8532283,Research & Development,6,1,Medical,1,31,2,Male,25.38256505,3,1,Research Scientist,1,Single,2960,4399.56,2,Y,No,11,3,3,160,0,8,2,3,4,2,4,3
26,Michele Contreras,53,No,Travel_Rarely,496.2992126,Research & Development,5,3,Other,1,32,3,Female,60.60693475,3,5,Manager,3,Divorced,19094,10505,4,Y,No,11,3,4,160,1,26,3,2,14,13,6,8
27,Anika Ware,32,Yes,Travel_Frequently,255.0925984,Research & Development,16,1,Life Sciences,1,33,2,Female,31.15132983,1,1,Research Scientist,1,Single,3919,5399.46,1,Y,Yes,22,4,2,160,0,10,5,3,10,2,4,7
28,Arya Preston,42,No,Travel_Rarely,373.2283465,Sales,8,4,Marketing,1,35,3,Male,45.57779957,3,2,Sales Executive,2,Married,6825,7900,0,Y,No,11,3,4,160,1,10,2,3,9,7,5,2
29,Amisha Clifford,44,No,Travel_Rarely,357.2574803,Research & Development,7,4,Medical,1,36,1,Female,43.62747361,2,3,Healthcare Representative,4,Married,10248,7561.95,3,Y,No,14,3,4,160,1,24,4,3,22,6,2,17
30,Kacie Sykes,46,No,Travel_Rarely,444.3307087,Sales,2,4,Marketing,1,38,2,Female,54.26065886,3,5,Manager,1,Single,18947,9405,3,Y,No,12,3,4,160,0,22,2,2,2,2,0,1
31,Spike Gentry,33,No,Travel_Rarely,206.2785827,Research & Development,2,3,Medical,1,39,3,Male,25.19027289,3,1,Laboratory Technician,4,Single,2496,4366.23,4,Y,No,11,3,4,160,0,7,3,3,1,1,1,0
32,Elis Bolton,44,No,Travel_Rarely,335.6055118,Research & Development,10,4,Other,1,40,4,Male,40.9833843,3,2,Healthcare Representative,4,Married,6465,7103.65,2,Y,Yes,13,3,4,160,0,9,5,4,4,2,1,3
33,Ishan Salas,30,No,Travel_Rarely,225.1743307,Research & Development,9,2,Medical,1,41,4,Male,27.4977788,2,1,Laboratory Technician,3,Single,2206,4766.19,1,Y,No,13,3,1,160,0,10,5,3,10,0,0,8
34,Waqas Lott,39,Yes,Travel_Rarely,275.6617323,Sales,5,3,Technical Degree,1,42,4,Male,33.66318583,3,2,Sales Representative,4,Married,5679.166667,5834.84,3,Y,No,14,3,3,160,1,19,6,4,1,0,2,0
35,Randy Mcleod,24,Yes,Travel_Rarely,214.151811,Research & Development,1,3,Medical,1,45,2,Male,26.15173369,3,1,Research Scientist,4,Married,2293,4532.88,2,Y,Yes,16,3,1,160,1,6,2,2,2,0,1,0
36,Lyndsey Cortes,43,No,Travel_Rarely,206.2785827,Research & Development,2,2,Medical,1,46,4,Female,25.19027289,4,1,Research Scientist,3,Divorced,2645,4366.23,1,Y,No,12,3,4,160,2,6,3,2,5,3,0,4
37,Pearce Forrest,50,Yes,Travel_Rarely,244.2103937,Sales,3,2,Marketing,1,47,1,Male,29.82241966,2,1,Sales Representative,3,Married,5013.333333,5169.12,1,Y,Yes,14,3,3,160,0,3,2,3,3,2,2,2
38,Stefanie Mcnally,35,No,Travel_Rarely,244.2103937,Sales,2,3,Marketing,1,49,4,Female,29.82241966,3,1,Sales Representative,4,Married,2014,5169.12,1,Y,No,13,3,1,160,0,2,3,3,2,2,0,2
39,Rosemary Carson,36,No,Travel_Rarely,229.8982677,Research & Development,5,4,Life Sciences,1,51,2,Female,28.07465528,2,1,Research Scientist,1,Married,3419,4866.18,9,Y,Yes,14,3,4,160,1,6,3,4,1,1,1,0
40,Abi Leblanc,33,No,Travel_Frequently,356.6929134,Sales,1,3,Life Sciences,1,52,3,Female,43.55852997,4,2,Sales Executive,1,Married,5376,7550,2,Y,No,19,3,1,160,2,10,3,3,5,3,0,3
41,Cillian Davie,35,No,Travel_Rarely,182.6588976,Research & Development,4,2,Other,1,53,3,Male,22.3058905,3,1,Laboratory Technician,4,Divorced,1951,3866.28,1,Y,No,12,3,3,160,1,1,3,3,1,0,0,0
42,Ella-Mae Page,27,No,Travel_Rarely,196.8307087,Research & Development,2,4,Life Sciences,1,54,4,Female,24.03651993,3,1,Laboratory Technician,1,Divorced,2341,4166.25,1,Y,No,13,3,4,160,1,1,6,3,1,0,0,0
43,Jean Chadwick,26,Yes,Travel_Rarely,187.3828346,Research & Development,25,3,Life Sciences,1,55,1,Male,22.88276698,1,1,Laboratory Technician,3,Single,2293,3966.27,1,Y,No,12,3,3,160,0,1,2,2,1,0,1,1
44,Miles Pugh,27,No,Travel_Frequently,385.0393701,Sales,8,3,Life Sciences,1,56,4,Male,47.020135,3,3,Sales Executive,3,Single,8726,8150,1,Y,No,15,3,4,160,0,9,0,3,9,8,3,7
45,Chantelle Long,30,No,Travel_Frequently,262.9658268,Research & Development,1,2,Medical,1,57,3,Female,32.11279063,3,2,Laboratory Technician,4,Single,4011,5566.11,1,Y,No,23,4,4,160,0,12,2,3,12,8,15,7
46,Constance Mullins,41,Yes,Travel_Rarely,399.2125984,Research & Development,12,3,Technical Degree,1,58,2,Female,48.75093752,3,5,Research Director,3,Married,19545,8450,1,Y,No,12,3,4,160,0,23,0,3,22,15,8,8
47,Damien Carter,34,No,Non-Travel,359.0551181,Sales,23,4,Marketing,1,60,2,Male,43.84699706,3,2,Sales Executive,3,Single,4568,7600,0,Y,No,20,4,3,160,0,10,2,3,9,5,0,7
48,Edward Bentley,37,No,Travel_Rarely,201.5546457,Research & Development,19,2,Life Sciences,1,61,2,Male,24.61339641,3,1,Research Scientist,2,Married,3022,4266.24,4,Y,No,21,4,1,160,0,8,1,3,1,0,0,0
49,Glyn Lane,46,No,Travel_Frequently,441.7322835,Sales,5,4,Marketing,1,62,1,Male,53.94334506,3,2,Sales Executive,4,Single,5772,9350,4,Y,Yes,21,4,3,160,0,14,4,3,9,6,0,8
50,Zoey Murillo,35,No,Travel_Rarely,181.084252,Research & Development,8,1,Life Sciences,1,63,4,Male,22.11359834,4,1,Laboratory Technician,4,Married,2269,3832.95,1,Y,No,19,3,4,160,0,1,2,3,1,0,0,1
51,Lewie Meyer,48,Yes,Travel_Rarely,248.7940157,Research & Development,1,2,Life Sciences,1,64,1,Male,30.3821612,2,3,Laboratory Technician,3,Single,5381,5266.14,9,Y,Yes,13,3,4,160,0,23,2,3,1,0,2,0
52,Benito Forster,28,Yes,Travel_Rarely,220.4503937,Research & Development,5,4,Technical Degree,1,65,3,Male,26.92090233,3,1,Laboratory Technician,3,Single,3441,4666.2,1,Y,Yes,13,3,3,160,0,2,3,2,2,2,1,2
53,Troy Mccray,44,No,Travel_Rarely,387.4015748,Sales,1,5,Marketing,1,68,2,Female,47.30860209,3,2,Sales Executive,1,Divorced,5454,8200,5,Y,Yes,21,4,3,160,1,9,2,2,4,3,2,3
54,Lyndon Francis,35,No,Non-Travel,300.9623622,Research & Development,11,2,Medical,1,70,3,Male,36.7528414,2,3,Healthcare Representative,1,Married,9884,6370.37,2,Y,Yes,13,3,3,160,1,10,3,3,4,0,0,3
55,Caitlin Rutledge,26,No,Travel_Rarely,356.6929134,Sales,23,3,Marketing,1,72,3,Female,43.55852997,2,2,Sales Executive,4,Married,4157,7550,7,Y,Yes,19,3,3,160,1,5,2,2,2,2,8,0
56,Bronwen Fletcher,33,No,Travel_Frequently,413.3858268,Research & Development,1,2,Life Sciences,1,73,1,Female,50.48174003,3,3,Research Director,4,Single,13458,8750,1,Y,Yes,12,3,3,160,0,15,1,3,15,14,1,12
57,Lester Hull,35,No,Travel_Frequently,413.3858268,Sales,18,5,Life Sciences,1,74,2,Male,50.48174003,3,3,Sales Executive,1,Married,9069,8750,1,Y,No,22,4,4,160,1,9,3,2,9,8,2,8
58,Allana Haynes,35,No,Travel_Rarely,226.7489764,Research & Development,23,4,Medical,1,75,3,Female,27.69007096,3,1,Laboratory Technician,1,Married,4014,4799.52,3,Y,Yes,15,3,3,160,1,4,3,3,2,2,1,2
59,Jordi Spooner,31,No,Travel_Rarely,256.6672441,Research & Development,7,4,Life Sciences,1,76,4,Male,31.34362199,3,2,Laboratory Technician,4,Divorced,5915,5432.79,3,Y,No,22,4,4,160,1,10,3,2,7,7,0,7
60,Nikolas Whiteley,37,No,Travel_Rarely,399.5834646,Research & Development,1,4,Life Sciences,1,77,1,Male,48.79622685,2,2,Manufacturing Director,3,Divorced,5993,8457.85,1,Y,No,18,3,3,160,1,7,2,4,7,5,7,7
61,Waseem Benitez,32,No,Travel_Rarely,457.4541732,Research & Development,1,3,Medical,1,78,1,Male,55.8632666,3,2,Manufacturing Director,4,Married,6162,9682.78,1,Y,Yes,22,4,2,160,1,9,3,3,9,8,9,8
62,Lili Carrillo,38,No,Travel_Frequently,258.2418898,Research & Development,29,5,Life Sciences,1,79,4,Female,31.53591415,3,2,Laboratory Technician,4,Single,2406,5466.12,1,Y,No,11,3,4,160,0,10,2,3,10,3,13,9
63,Maisy Rosas,50,No,Travel_Rarely,401.5748031,Research & Development,7,2,Medical,1,80,2,Female,49.0394046,2,5,Research Director,3,Divorced,18740,8500,5,Y,Yes,12,3,4,160,1,29,2,2,27,3,7,8
64,Rayan Sharples,59,No,Travel_Rarely,380.3149606,Sales,25,3,Life Sciences,1,81,1,Female,46.44320083,3,3,Sales Executive,1,Single,7637,8050,7,Y,No,11,3,4,160,0,28,3,2,21,16,12,9
65,Madihah Howells,36,No,Travel_Rarely,348.5966929,Research & Development,8,3,Technical Degree,1,83,3,Female,42.56983788,3,3,Healthcare Representative,3,Divorced,10096,7378.63,1,Y,No,13,3,2,160,3,17,2,3,17,14,0,8
66,Anam Woods,55,No,Travel_Rarely,418.3464567,Research & Development,8,3,Medical,1,84,4,Female,51.08752091,3,4,Manager,3,Divorced,14756,8855,2,Y,Yes,14,3,3,160,3,21,2,3,5,0,0,2
67,Grover Carver,36,No,Travel_Frequently,410.6064567,Research & Development,11,3,Life Sciences,1,85,2,Male,50.14232966,2,2,Manufacturing Director,2,Single,6499,8691.17,1,Y,No,13,3,3,160,0,6,3,3,6,5,0,3
68,Lincoln Bannister,45,No,Travel_Rarely,229.8982677,Research & Development,7,3,Life Sciences,1,86,2,Male,28.07465528,3,3,Research Scientist,1,Divorced,9724,4866.18,2,Y,No,17,3,3,160,1,25,2,3,1,0,1,0
69,Damian Pike,35,No,Travel_Frequently,225.1743307,Research & Development,1,3,Medical,1,88,2,Male,27.4977788,3,1,Research Scientist,1,Married,2194,4766.19,4,Y,No,13,3,4,160,1,5,2,2,3,2,0,2
70,Kabir Petty,36,Yes,Travel_Rarely,192.1067717,Research & Development,9,3,Medical,1,90,4,Male,23.45964345,2,1,Research Scientist,3,Married,3388,4066.26,0,Y,Yes,17,3,1,160,1,2,0,2,1,0,1,0
71,Neive Noble,59,No,Travel_Frequently,392.1259843,Sales,1,1,Life Sciences,1,91,1,Female,47.88553626,2,2,Sales Executive,3,Single,5473,8300,7,Y,No,11,3,4,160,0,20,2,2,4,3,0,3
72,Nel Quinn,29,No,Travel_Rarely,214.151811,Research & Development,2,3,Life Sciences,1,94,3,Male,26.15173369,3,1,Research Scientist,2,Married,2703,4532.88,0,Y,No,23,4,4,160,1,6,3,3,5,4,1,4
73,Abul Chester,31,No,Travel_Rarely,195.256063,Research & Development,1,4,Medical,1,95,3,Male,23.84422777,3,1,Research Scientist,2,Single,2501,4132.92,1,Y,No,17,3,2,160,0,1,4,3,1,1,0,0
74,Tracey Everett,32,No,Travel_Rarely,240.9207874,Research & Development,1,3,Life Sciences,1,96,2,Male,29.4207004,3,2,Research Scientist,2,Married,6220,5099.49,1,Y,No,17,3,2,160,2,10,3,3,10,4,0,9
75,Safiyyah Wolf,36,No,Travel_Rarely,198.4053543,Research & Development,6,3,Life Sciences,1,97,2,Female,24.22881209,4,1,Laboratory Technician,4,Married,3038,4199.58,3,Y,No,12,3,2,160,0,5,3,3,1,0,1,0
76,Jose Lloyd,31,No,Travel_Rarely,462.9656693,Research & Development,8,4,Life Sciences,1,98,3,Female,56.53631801,3,2,Manufacturing Director,4,Single,4424,9799.44,1,Y,No,23,4,4,160,0,11,2,3,11,7,2,8
77,Roshan Haas,35,No,Travel_Rarely,408.6614173,Sales,1,4,Marketing,1,100,3,Male,49.90480586,2,2,Sales Executive,1,Single,4312,8650,0,Y,No,14,3,2,160,0,16,2,3,15,13,0,8
78,Mallory Diaz,45,No,Travel_Rarely,375.5905512,Research & Development,6,4,Other,1,101,4,Male,45.86626666,3,3,Research Director,1,Married,13245,7950,4,Y,Yes,14,3,2,160,0,17,3,4,0,0,0,0
79,Hareem Armstrong,37,No,Travel_Rarely,387.4015748,Research & Development,7,4,Medical,1,102,1,Male,47.30860209,3,3,Research Director,3,Single,13664,8200,4,Y,No,13,3,1,160,0,16,3,4,5,2,0,2
80,Suhail Vazquez,46,No,Travel_Rarely,199.6062992,Human Resources,5,2,Medical,1,103,2,Male,24.37546876,3,2,Human Resources,2,Divorced,5021,4225,8,Y,Yes,22,4,4,160,1,16,2,3,4,2,3,2
81,Arnold Ashley,30,No,Travel_Rarely,247.2193701,Research & Development,1,1,Life Sciences,1,104,4,Male,30.18986904,2,2,Laboratory Technician,4,Married,5126,5232.81,1,Y,Yes,12,3,3,160,2,10,1,2,10,8,0,0
82,Darren Randolph,35,No,Travel_Rarely,220.4503937,Research & Development,1,3,Medical,1,105,2,Male,26.92090233,2,1,Research Scientist,3,Single,2859,4666.2,1,Y,No,18,3,1,160,0,6,3,3,6,4,1,4
83,Augustus Humphreys,55,No,Travel_Rarely,344.8818898,Sales,1,2,Life Sciences,1,106,1,Male,42.11619454,3,3,Sales Executive,4,Married,10239,7300,3,Y,No,14,3,4,160,1,24,4,3,1,0,1,0
84,Aubrey Stokes,38,No,Non-Travel,292.8840945,Research & Development,6,3,Medical,1,107,2,Female,35.76634166,1,2,Research Scientist,4,Divorced,5329,6199.38,7,Y,Yes,12,3,4,160,3,17,3,3,13,11,1,9
85,Claire Cooper,34,No,Travel_Rarely,358.2472441,Research & Development,1,2,Medical,1,110,1,Male,43.74834131,3,2,Manufacturing Director,2,Married,4325,7582.9,1,Y,No,15,3,3,160,0,5,2,3,5,2,0,3
86,Ashlea Cardenas,56,No,Travel_Rarely,457.4541732,Research & Development,7,3,Life Sciences,1,112,4,Male,55.8632666,1,3,Manufacturing Director,4,Single,7260,9682.78,4,Y,No,11,3,1,160,0,37,3,2,6,4,0,2
87,Yash Clarke,23,No,Travel_Rarely,225.7096063,Sales,2,1,Technical Degree,1,113,3,Male,27.56314545,3,1,Sales Representative,1,Divorced,2322,4777.52,3,Y,No,13,3,3,160,1,3,3,3,0,0,0,0
88,Kayden Mansell,51,No,Travel_Rarely,237.7714961,Research & Development,9,4,Life Sciences,1,116,4,Male,29.03611608,3,1,Laboratory Technician,4,Married,2075,5032.83,3,Y,No,23,4,2,160,2,10,4,3,4,2,10,3
89,Mahi Garrison,30,No,Travel_Rarely,352.9270866,Research & Development,2,3,Life Sciences,1,117,3,Male,43.09865574,2,2,Healthcare Representative,4,Married,4152,7470.29,1,Y,No,19,3,1,160,3,11,3,3,11,10,4,8
90,Viaan Mueller,46,Yes,Travel_Rarely,368.503937,Sales,9,2,Medical,1,118,3,Male,45.0008654,2,3,Sales Executive,4,Single,9619,7800,1,Y,No,16,3,4,160,0,9,3,3,9,8,11,7
91,Greyson Craig,40,No,Travel_Frequently,365.9182677,Research & Development,1,4,Life Sciences,1,119,3,Male,44.68510933,2,4,Healthcare Representative,2,Married,13503,7745.27,1,Y,No,22,4,4,160,1,22,3,2,22,3,1,11
92,Muneeb Nash,51,No,Travel_Rarely,403.9370079,Sales,21,4,Marketing,1,120,3,Male,49.32787169,3,2,Sales Executive,4,Single,5441,8550,0,Y,Yes,22,4,4,160,0,11,2,1,10,7,2,0
93,Sila Sawyer,30,No,Travel_Rarely,389.7637795,Sales,4,2,Medical,1,121,3,Female,47.59706917,2,2,Sales Executive,2,Divorced,5209,8250,1,Y,Yes,12,3,2,160,3,11,4,2,11,8,9,7
94,Amin Thornton,46,No,Travel_Frequently,400.5614173,Research & Development,1,3,Medical,1,124,3,Male,48.91565222,2,3,Healthcare Representative,1,Married,10673,8478.55,2,Y,Yes,13,3,3,160,1,21,5,2,10,9,5,5
95,Ahmet Kramer,32,No,Travel_Rarely,385.0393701,Sales,6,4,Medical,1,125,2,Male,47.020135,3,2,Sales Executive,3,Single,5010,8150,1,Y,No,16,3,1,160,0,12,0,3,11,8,0,7
96,Leah Fox,54,No,Travel_Rarely,408.6614173,Research & Development,2,4,Technical Degree,1,126,1,Female,49.90480586,3,3,Research Director,3,Married,13549,8650,9,Y,No,12,3,1,160,1,16,5,1,4,3,0,3
97,Elijah Mcgregor,24,No,Travel_Rarely,309.4488189,Sales,3,2,Other,1,128,1,Female,37.78918825,3,2,Sales Executive,3,Married,4999,6550,0,Y,No,21,4,1,160,1,4,2,2,3,2,0,2
98,Walid England,28,No,Non-Travel,309.4488189,Sales,4,3,Medical,1,129,2,Male,37.78918825,3,2,Sales Executive,3,Married,4221,6550,1,Y,No,15,3,2,160,0,5,3,4,5,4,1,4
99,Hakim York,58,No,Travel_Rarely,380.3149606,Sales,10,4,Medical,1,131,4,Male,46.44320083,3,4,Sales Executive,3,Single,13872,8050,0,Y,No,13,3,3,160,0,38,1,2,37,10,1,8
100,Antoine Mullen,44,No,Non-Travel,244.0700787,Research & Development,23,3,Medical,1,132,2,Male,29.80528472,3,2,Laboratory Technician,2,Married,2042,5166.15,4,Y,No,12,3,3,160,1,17,3,4,3,2,0,2
101,Darragh Solomon,37,Yes,Travel_Rarely,179.5275591,Human Resources,6,4,Human Resources,1,133,3,Male,21.92349853,3,1,Human Resources,1,Divorced,2073,3800,4,Y,Yes,22,4,4,160,0,7,3,3,3,2,0,2
102,Jesse Townsend,32,No,Travel_Rarely,181.084252,Research & Development,1,1,Life Sciences,1,134,4,Male,22.11359834,3,1,Research Scientist,1,Single,2956,3832.95,1,Y,No,13,3,4,160,0,1,2,3,1,0,1,0
103,Fatma Levine,20,Yes,Travel_Frequently,209.427874,Research & Development,6,3,Life Sciences,1,137,4,Female,25.57485721,2,1,Laboratory Technician,4,Single,2926,4432.89,1,Y,Yes,18,3,2,160,0,1,5,3,1,0,2,0
104,Bryn Byrd,34,No,Travel_Rarely,256.6672441,Research & Development,6,4,Other,1,138,1,Female,31.34362199,3,2,Research Scientist,3,Single,4809,5432.79,1,Y,No,14,3,3,160,0,16,3,3,16,13,0,10
105,Guy Mccall,37,No,Non-Travel,307.4579528,Research & Development,2,2,Life Sciences,1,139,3,Male,37.54606819,2,2,Healthcare Representative,4,Divorced,5163,6507.86,5,Y,No,14,3,4,160,1,17,2,4,1,0,2,0
106,Eman Frey,59,No,Non-Travel,467.7165354,Human Resources,2,4,Human Resources,1,140,3,Female,57.11648301,2,5,Manager,4,Married,18844,9900,9,Y,No,21,4,4,160,1,30,3,3,3,2,0,2
107,Muskaan Bennett,50,No,Travel_Frequently,432.2834646,Research & Development,1,3,Life Sciences,1,141,1,Female,52.78947672,3,5,Research Director,2,Married,18172,9150,3,Y,Yes,19,3,1,160,0,28,1,2,8,3,0,7
108,Siobhan Grant,25,Yes,Travel_Rarely,344.8818898,Sales,5,3,Marketing,1,142,3,Male,42.11619454,2,2,Sales Executive,3,Single,5744,7300,1,Y,Yes,11,3,4,160,0,6,1,3,6,4,2,3
109,Levison Kaye,25,No,Travel_Rarely,199.98,Research & Development,7,1,Medical,1,143,4,Male,24.42110425,2,1,Research Scientist,4,Married,2889,4232.91,1,Y,No,11,3,3,160,2,2,2,3,2,2,0,1
110,Roisin Bridges,22,No,Travel_Rarely,192.1067717,Research & Development,15,3,Medical,1,144,2,Female,23.45964345,3,1,Laboratory Technician,4,Single,2871,4066.26,1,Y,No,15,3,3,160,0,1,5,3,0,0,12,0
111,Jessie Parry,51,No,Travel_Frequently,409.2222047,Research & Development,1,4,Medical,1,145,1,Female,49.97328795,2,3,Healthcare Representative,1,Single,7484,8661.87,3,Y,No,20,4,3,160,0,23,1,2,13,12,0,8
112,Dexter Guest,34,Yes,Travel_Frequently,270.8390551,Research & Development,7,3,Life Sciences,1,147,1,Male,33.07425143,1,2,Laboratory Technician,3,Single,6074,5732.76,1,Y,Yes,24,4,4,160,0,9,3,3,9,7,4,6
113,Sioned Neal,54,No,Non-Travel,423.5433071,Human Resources,26,3,Human Resources,1,148,4,Female,51.7221485,4,4,Manager,4,Single,17328,8965,2,Y,Yes,12,3,3,160,0,23,3,3,5,3,1,4
114,Nadia Novak,24,No,Travel_Rarely,201.5546457,Research & Development,18,1,Life Sciences,1,150,2,Male,24.61339641,3,1,Laboratory Technician,3,Married,2774,4266.24,0,Y,No,12,3,3,160,1,6,2,3,5,3,0,2
115,Mairead Schroeder,34,No,Travel_Rarely,237.7714961,Research & Development,6,4,Life Sciences,1,151,3,Female,29.03611608,2,2,Research Scientist,2,Divorced,4505,5032.83,6,Y,No,15,3,3,160,1,12,3,3,1,0,1,0
